exchange,account,symbol
Binance,BinanceK,1INCH
Binance,BinanceA,AAVE
Okx,Okx,BAND
Binance,BinanceA,BNB
Binance,BinanceA,BNB
Binance,BinanceK,BNB
Binance,BinanceA,BTC
Binance,BinanceA,BTC
Binance,BinanceK,BTC
Binance,BinanceK,BTC
Bitget,Bitget,BTC
Gate,Gate,BTC
FTX,FTX,BTC
Binance,BinanceK,BTCDOM
Coinex,Coinex,CHZ
Binance,BinanceA,COMP
Binance,BinanceK,COTI
Binance,BinanceK,DOT
Okx,Okx,DOT
Binance,BinanceK,EOS
Okx,Okx,ETC
Binance,BinanceA,ETH
Binance,BinanceA,ETH
Binance,BinanceK,ETH
Binance,BinanceK,ETH
Okx,Okx,ETH
FTX,FTX,ETH
Okx,Okx,ETHW
Gate,Gate,GT
Binance,BinanceK,KNC
Binance,BinanceA,LINK
Coinex,Coinex,LTC
Kucoin,Kucoin,LUNA
Coinex,Coinex,THETA
Binance,BinanceA,WAVES
Binance,BinanceK,XMR
Gate,Gate,XMR
Binance,BinanceA,XRP
FTX,FTX,YFII